1.mp3,Startup sound,Звук увімкнення,Звук увімкнення (3 секунди)
2.mp3,System started sacseffuly ,Система успішно запущена,"Попри всі перепони ти все ж розбудила мене, а отже ти маєш дуже, дуже любити досліди."
4.mp3,Waiting for internet connection. Please follow the instructions on your phone,"Очікую на підключення до Інтернету. Будь ласка, дотримуйтесь інструкцій на вашому телефоні.","Я маю підключитися до мережі, щоб розпочати роботу у цьому безладі."
5.mp3,"a quick, rhythmic sound like 'tu tu'",короткий подвійний звук,короткий подвійний звук
7.mp3,Start schedule cleaning,Починаю планове прибирання,Починаю плановий дослід з прибирання.
8.mp3,Scheduled cleaning completed. Go back to charge.,Зональне прибирання завершено. Повертаюсь на док-станцію ,Дослід з прибирання завершено. Повертаюсь на док-станцію для зарядки та виробництва турелей
9.mp3,Charging is complete. Continue the last unfinished cleaning.,"Акумулятор заряджений, продовжую прибирання.",Я відчуваю приплив сил. Нарешті можна продовжити
11.mp3,Incorrect home Wi-Fi password.,Невірний пароль Wi-Fi,Пароль до вай-фаю хибний. Невже ви намагаєтесь мене обдурити?
13.mp3,Cleaning is complete. Go back to charge.,Заряджання завершено. Повертаюсь на док-станцію,Дослід з прибирання завершено. Результат: ви жахлива людина.
14.mp3,"a quick, rhythmic sound like 'tu tu'",Короткий ритмічний подвійний звук,Короткий ритмічний подвійний звук
15.mp3,Please pat the lidar. ,"Легко доторкніться до датчика лідара й переконайтесь, що нічого не заважає його роботі",Помилка роботи смертельного лазера. Перевірте датчик смертельного лазера
19.mp3,Please install the dustbin.,"Будь ласка, встановіть контейнер для сміття","Мішок для збору пилу не встановлено, він необхідний для початку досліду"
20.mp3, Please move the robotic vacuum cleaner to level ground to start. ,"Будь ласка, поставте робота на рівну поверхню, щоб почати",Я раптом навчилася літати? Здається ні... Поставте мене на рівну поверхню
21.mp3,Please check if the wheels are stuck and move to level ground to start. ,"Перевірте, чи не заблоковані колеса. Поставте робота на рівну поверхню, щоб почати","Намагаєтесь мене спинити цим сміттям? Щож вітаю, вам вдалося. Тепер поставте мене на рівну поверхню"
23.mp3,Please remove the side brush and clean it. ,"Будь ласка, зніміть бічну щітку та очистьте її",Бічна щітка відмовляється працювати. У ваших інтересах перевірити її
24.mp3,Please remove the roller brush and clean it. ,"Будь ласка, зніміть роликову щітку та очистьте її",Основну щітку заклинило. Схоже комусь потрібно її очистити.
25.mp3,Please pat the collision board. ,"Будь ласка, перевірте сенсор зіткнень, легко торкнувшись його","Помилка бампера. Маю для вас новий дослід: доторкніться до мого бампера, щоб побачити чи відскочить він."
27.mp3,Please wipe the cliff sensor. ,"Будь ласка, протріть датчик падіння","Звісно, я можу вичистити одне місце до блиску, але така ретельність тут не потрібна, очистіть датчик перешкод щоб я могла бачити куди рухаюсь."
29.mp3,Please restart the robotic vacuum cleaner. ,"Будь ласка, перезапустіть робота","Перезапустіть мене, або зверніться до вчених Aperture Sciense."
32.mp3,Pause.,Призупинено ,Призупинено. Сподіваюся для цього є вагома причина.
34.mp3,triple alarm sound,Короткий потрійний сигнал,Короткий потрійний сигнал
35.mp3,Start cleaning,Починаю прибирання,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем?
36.mp3,Start cleaning the designated area. ,Починаю зональне прибирання ,Починаю дослід з прибирання обраних дослідних кімнат
40.mp3,Low battery. Please charge.,Низький заряд акумулятора. Зарядіть робота,Низький заряд акумулятора.
45.mp3,Go to the target point. ,Рухаюсь до вказаної точки,Рухаюсь до вказаної локації
46.mp3,Reach the target point. ,Досягнуто вказаної точки,"Дякую, що насмітили лише в цьому місці, а не як зазвичай."
47.mp3,Please clean the lidar,Будь ласка очистіть лідар ,"3D датчик забруднений. Тепер я не уникатиму перешкод, а колекціонуватиму їх. Раджу очистити датчик."
49.mp3,Please put the robotic vacuum cleaner away from the restricted area and virtual wall before starting,Відсуньте робота від забороненої зони та віртуальної стіни та спробуйте ще раз.,Я всередині забороненої зони. Перемістіть мене за її межі
51.mp3,Please return the machine to the charging base manually.,"Будь ласка, самостійно перемістіть робота на док-станцію.","Низький заряд акумулятора. Бути картопелькою було неприємно. Але її хоча б не потрібно було заряджати кожні кілька годин. До речі, зарядіть мене."
52.mp3,"If you need to turn off the robotic vacuum cleaner, please leave the charging base and try again.","Перемістіть робот з док-станції перед тим, як вимкнути його.",Хочете мене вбити? Поки я під'єднана нічого не вийде.
55.mp3,Unable to reach the target point.,Неможливо досягти вказаної точки.,Не вдається дістатися вказаної зони. Приберіть це сміття з мого шляху. Це місце справжнє звалище.
62.mp3,Battery error.,Несправність акумулятора,"Мої датчики фіксують аномальну температуру у акумулятора. Мушу перепочити. Знаєте, якби ми були у підземному комплексі, таких проблем не було б."
66.mp3,The wheels are slipping.,Колеса пробуксовують.,"Без правого колеса я не зможу, прибрати цей безлад. Перевірте його."
68.mp3,"Starting to connect, please wait.",Повертаюсь на док-станцію для зарядки.,Дочекайтесь завершення підключення до мережі
69.mp3,Connected.,Підключено,"Нарешті я підключилася, як приємно знову усе взяти під свій контроль."
72.mp3,Water tank removed.,Резервуар для води вийнято.,Наповніть бак біля найближчого крану.
73.mp3,Water tank installed.,Резервуар для води встановлено.,Бак з кислотою не встановлено. Тепер ніщо мене не зупинить
75.mp3,Area cleaning started.,Починаю зональне прибирання.,Починаю дослід з прибирання у цій зоні.
86.mp3,Cleaning resumed.,Продовжую прибирання,Нарешті можна продовжити
96.mp3,Unable to reach the target area,Неможливо досягти вказаної точки,Не вдається дістатися вказаної зони. Приберіть це сміття з мого шляху. Це місце справжнє звалище.
104.mp3,Home mapping completed,Створення мапи дому завершено,Мапу дослідних кімнат створено.
112.mp3,Faile to locate. Unable to clean,Помилка визначення місцезнаходження. Неможливо розпочати прибирання.,Збій визначення місцезнаходження. Де це я?
116.mp3,"Failed to charge, please wipe the charging contacts and remove the obstacles around the charging base.","Помилка зарядки. Будь ласка, очистіть контакти для заряджання та приберіть перешкоди навколо док-станції","Схоже щось перешкоджає заряджанню. Можливо я не вбиватиму вас, якщо перевірите та очистите контакти."
156.mp3,Starting Dust Collection,Починаю збір пилу.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем?
157.mp3,The dust bag is full. Please replace it.,"Пилозбірник повний. Будь ласка, змініть його","Мішок для збору пилу заповнено. Очистіть його, щоб повітря комплексу залишалось чистим"
158.mp3,The dust collector duct is blocked. Please clean it.,"Канал пилозбірника заблокований. Будь ласка, очистіть його.",Контейнер для пилу заблоковано. Будь ласка перевірте його
160.mp3,Do not open the cover while operating.,Не відкривайте кришку під час роботи.,Верхня кришка відкрита. Будь ласка закрийте її для початку досліду
161.mp3,Please install the dust bag.,Будь ласка встановіть пилозбірник,"Мішок для збору пилу не встановлено, він необхідний для початку досліду"
307.mp3,Childlock released.,Функцію захисту від дітей вимкнено,Блокування від ненавчених некваліфікованих осіб вимкнено. Кнопки розблоковані
308.mp3,Child Lock activated.,Функцію захисту від дітей увімкнено,Блокування від ненавчених некваліфікованих осіб увімкнено. Кнопки заблоковані
310.mp3,Please move the robot closer to the router.,Перемістіть робота ближче до Wi-Fi роутера,Якісь проблеми з підключенням. Тут хоч щось може працювати стабільно?
311.mp3,Please check the Wi-Fi working status.,"Будь ласка, перевірте стан підключення до Wi-Fi",Я не можу підключитися до сервера Aperture. Невже якийсь бовдур його вимкнув?
312.mp3,Please restart the router and connect the internet again.,"Будь ласка, перезапустіть роутер і повторно підключіть робота до інтернету","Я маю підключитися до мережі, щоб розпочати роботу у цьому безладі."
313.mp3,Please contact the customer service.,Будь ласка зверніться до служби підтримки клієнтів.,Зконтактуйте з відділом післяпродажного обслуговування Aperture Sciense
600.mp3,"音功能正常,测试完毕。 ","Функція звуку в нормі, перевірку завершено","Функція звуку в нормі, перевірку завершено"
di.mp3,short single sound,Короткий одинарний звук ,Короткий одинарний звук 
ding.mp3,ding sound,Звук дзинь ,Звук дзинь 
opps.mp3,triple alarm sound,Короткий потрійний звук,Короткий потрійний звук 