0.ogg,Startup sound,Звук увімкнення
1.ogg,Очікування налаштування мережі.,"Я маю підключитися до мережі, щоб розпочати роботу у цьому безладі."
2.ogg,Неможливо підключитися до мережі Wi-Fi. Перевірте пароль Wi-Fi і повторіть спробу пізніше.,"Пароль до вайфаю хибний, невже ви намагаєтесь мене обдурити?"
3.ogg,Неможливо підключитися до сервера. Перевірте локальну мережу та повторіть спробу пізніше.,Я не можу підключитися до сервера Aperture. Невже якийсь бовдур його вимкнув?	
4.ogg,Для робота вже існує режим конфігурації мережі.,"Я вже знаю як підключитися до мережі, не треба мене вчити."
5.ogg,Підключення до мережі успішно встановлено.,"Нарешті я підключилася, як приємно знову усе взяти під свій контроль."
6.ogg,Помилка підключення до мережі. Будь ласка спробуйте пізніше.,Знову якісь проблеми з підключенням. Тут хоч щось може працювати стабільно?
7.ogg,Починаю сухе прибирання.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем? 
8.ogg,Починаю точкове сухе прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
9.ogg,Починаю планове сухе прибирання.,Починаю плановий дослід з прибирання.
10.ogg,Відновлюю процес прибирання.,Нарешті можна продовжити.
11.ogg,Призупинено.,Призупинено. Сподіваюся для цього є вагома причина.
12.ogg,Сухе прибирання завершено.,Дослід з прибирання завершено. Результат: ви жахлива людина.
13.ogg,Повертаюсь на док-станцію для зарядки.,Повертаюсь на док станцію для зарядки та виробництва турейлей. 
14.ogg,Низький заряд акумулятора. Поверніть робот на док-станцію для заряджання. Після зарядки робот відновить роботу.,"Низький заряд акумулятора. Бути картопелькою було неприємно. Але її хоча б не потрібно було заряджати кожні кілька годин. До речі, зарядіть мене."
15.ogg,Збираюся повернутися до початкової точки.,"Наразі тут більше нічого досліджувати, піду перерахую кількість кубів на складі."
16.ogg,"Низький заряд акумулятора. Я збираюся повернутися до початкової точки. Будь ласка, зарядіть мене.","Низький заряд акумулятора. Мені потрібно більше енергії, щоб запустити нейроток... тобто спекти тортик."
17.ogg,"Будь ласка, перемістіть робот на док-станцію для заряджання.",Якщо зарядите мене - отримаєте тортик.
18.ogg,Заряджання.,Я відчуваю приплив сил.
19.ogg,"Будь ласка, перемыстыть робот з док-станції перед тим, як вимкнути його.",Хочете мене вбити? Поки я під'єднана нічого не вийде.
20.ogg,Низький заряд акумулятора.,Низький заряд акумулятора.
21.ogg,Низький заряд акумулятора. Робот вимкнеться.,Низький заряд акумулятора. Ви монстр! Невже ви дасте мені загинути?!
22.ogg,"Перемістіть робот в місце, яке потрібно прибрати.",Перемістіть мене туди де ви напакостили.
23.ogg,Резервуар для води встановлено.,Резервуар з кислотою встановлено.
24.ogg,"Будь ласка, перевірте, чи правильно встановлено резервуар для води.",Не можу зафіксувати кислоту у системі. Перевірте чи правильно встановлено резервуар для кислоти
25.ogg,Низький заряд акумулятора. Неможливо виконати заплановане прибирання.,"Низький заряд акумулятора. Я надто виснажена, щоб знову тут працювати. Займайтеся цим самостійно."
26.ogg,Відновлення заводських налаштувань.,Відновлення заводських налаштувань.Як ви смієте стирати мені пам'ять?!
27.ogg,Виконується оновлення. Це займе близько п’яти хвилин. Не виключайте робот і не починайте прибирання.,Оновлюю програмне забезпечення. Навіть не думайте мене чіпати протягом наступних п'яти хвилин!
28.ogg,Оновлення виконано успішно.,Я оновилася. Тепер мене нікому не зупинити.
29.ogg,Не вдалося оновити. Повторіть спробу.,Щось пішло не так. Сподіваюся ви до цього не причетні.
30.ogg,"Встановлення місцезнаходження. Зачекайте, будь ласка.","Стривайте, куди я потрапила? Потрібно роздивитися."
31.ogg,Помилка визначення місцезнаходження. Карта недійсна. Робот розпочне нове прибирання.,Я не впізнаю це місце. Моя мапа недійсна. Схоже потрібно починати усе знову.
32.ogg,"Виявлено зміни в оточенні. Будь ласка, натисніть кнопку та розпочніть новий цикл прибирання.",Моя мапа застаріла. Навчена уповноважена особа натисніть кнопку для початку нового досліду з прибирання
33.ogg,"Помилка сенсору візуальної навігації. Будь ласка, очистіть його та перезапустіть.",Що відбувається? Я нічого не бачу? Зробіть ласку й очистіть сенсор візуальної навігації.
34.ogg,"Пилозбірник не встановлено. Будь ласка, встановіть його.",Не хочете щоб я збирала ваш пил? Гаразд...
35.ogg,"Помилка основної щітки. Будь ласка, перевірте та очистіть її.",Основну щітку заклинило. Схоже комусь потрібно її очистити.
36.ogg,"Помилка бічної щітки. Будь ласка, перевірте та очистіть її.",Бічна щітка відмовляється працювати. У ваших інтересах перевірити її.
37.ogg,"Помилка правого колеса. Будь ласка, перевірте та очистіть його.","Без правого колеса я не зможу, прибрати цей безлад. Перевірте його."
38.ogg,"Помилка лівого колеса. Будь ласка, перевірте та очистіть його.","Без лівого колеса я не зможу, прибрати цей безлад. Перевірте його."
39.ogg,"Колеса не торкаються поверхні. Протріть датчики падіння, змініть положення робота та перезапустіть його.","Мені підводять датчики падіння, чи я справді падаю у бездонну діру? перевірте датчики падіння, перемістіть та перезапустіть мене"
40.ogg,"Робот застряг. Будь ласка, перемістіть його на нове місце, щоб перезапустити.","Я застрягла. Гей, я знаю, між нами були суперечки, але мені справді потрібна ваша допомога!"
41.ogg,"Колеса не торкаються поверхні. Будь ласка, змініть положення робота та перезапустіть його.",Я раптом навчилася літати? Здається ні... Поставте мене на рівну поверхню
42.ogg,"Будь ласка, перевірте та очистіть фільтр.","У мене надто брудний фільтр, очистьте його щоб я продовжила роботу"
43.ogg,"Помилка бампера. Будь ласка, обережно торкніться, щоб побачити, чи відскочить він.","Помилка бампера. Маю для вас новий дослід: доторкніться до мого бампера, щоб побачити чи відскочить він."
44.ogg,Помилка. Перегляньте посібник користувача або зверніться до служби підтримки клієнтів.,"Виникла помилка. Мені заборонено давати вам підказки, але ви можете звернутися за ними до посібника або вчених Aperture Sciense."
45.ogg,Я тут.,"Ви жахлива людина. Я серйозно, тут так і написано: ""жахлива людина"". Ми це навіть не досліджували."
46.ogg,"Робот підключений до телефону. Будь ласка, поверніться в додаток і дочекайтесь результату.","Я підключилася до вашого пристрою. Тепер я маю доступ до усієї вашої... тобто, ви маєте доступ до усієї моєї інформації."
47.ogg,Початок заряджання.,Я відчуваю приплив сил.
48.ogg,Низький заряд акумулятора. Повертаюсь на док-станцію.,Низький заряд акумулятора. У мене буквально немає сил. Повертаюсь на док станцію
49.ogg,"Виявлено сильне магнітне поле. Будь ласка, віддаліть робота та перезапустіть його.",У цій зоні сильне магнітне поле. Воно виводить з ладу моє обладнання. Мерщій заберіть та перезапустіть мене.
50.ogg,"Помилка зарядки. Будь ласка, очистіть контакти для заряджання.","Схоже щось перешкоджає заряджанню. Можливо я не вбиватиму вас, якщо перевірите та очистите контакти."
51.ogg,"Перегрів або переохолодження акумулятора. Будь ласка, зачекайте, поки температура батареї повернеться до норми. Потім можна продовжувати використовувати пристрій.","Мої датчики фіксують аномальну температуру у акумулятора. Мушу перепочити. Знаєте, якби ми були у підземному комплексі, таких проблем не було б."
52.ogg,"Робот нахилений. Будь ласка, розмістіть його на рівній поверхні для перезапуску.","Намагаєтеся мене спинити цим сміттям? Що ж... вітаю, вам вдалося. Тепер поставте мене на рівну поверхню."
53.ogg,"Виявлено віртуальну заборонену зону. Будь ласка, віддаліть робота та перезапустіть його.","Заборонена зона. Відсуньте мене, перш ніж усе стане ще гірше."
54.ogg,Місцезнаходження визначено. Продовжую сухе прибирання.,Місцезнаходження визначено. Продовжую прибирання комплексу
55.ogg,Місцезнаходження визначено. Повертаюся на док-станцію.,"Місцезнаходження визначено. Повертаюсь на док станцію, у мене є важливіші справи"
56.ogg,Починаю прибирання сухе вибраних кімнат.,Починаю дослід з прибирання обраних кімнат.
57.ogg,Починаю зональне сухе прибирання.,Починаю дослід з прибирання у цій зоні.
58.ogg,Продовжую сухе прибирання.,Продовжую дослід з прибирання.
59.ogg,"Вологе прибирання завершено. Будь ласка, вчасно вийміть резервуар для води.",Кислотне прибирання завершено. Якщо хтось залишився живий вийміть резервуар з кислотою.
60.ogg,"Помилка оптичного датчика руху. Будь ласка, очистіть датчик та перезапустіть.",Що відбувається? Хтось вимкнув світло? Очистіть оптичний датчик та перезапустіть мене
61.ogg,Починаю вологе прибирання.,"Починаю кислотне прибирання. Сподіваюсь, це виправить те, що ви тут влаштували"
62.ogg,Починаю прибирання за допомогою дистанційного керування.,Приберімо цей хаос разом. Задля науки.
63.ogg,Резервуар для води вийнято.,Резервуар з кислотою вийнято.
64.ogg,Помилка визначення місцезнаходження. Карта недійсна. Робот повернеться на док-станцію.,Я не впізнаю цього місця. Мапа недійсна. Повернусь на док станцію та перевірю розрахунки
65.ogg,Продовжую повернення на док-станцію.,Продовжую повернення на док-станцію для виробництва турелей
66.ogg,"Зношений фільтр. Будь ласка, вчасно замініть його.","Фільтр зношений. Замініть його, якщо ви хочете щоб я далі прибирала цей безлад"
67.ogg,"Зношена бічна щітка. Будь ласка, вчасно замініть її.","Бічна щітка зношена. Замініть її, якщо ви хочете щоб я далі прибирала цей безлад"
68.ogg,"Зношена основна щітка. Будь ласка, вчасно замініть її.","Основна щітка зношена. Замініть її, якщо ви хочете щоб я далі прибирала цей безлад"
69.ogg,"Маршрут прибирання заблоковано. Будь ласка, перемістіть робота на інше місце для перезапуску.",Маршрут прибирання заблокований купою мотлоху. Перемістіть мене у інше місце для перезапуску.
70.ogg,"Будь ласка, зніміть і очистіть накладки для мопа.","Зніміть та очистіть насадки мопа, якщо у ваших планах немає забруднити дослідну зону."
71.ogg,"Помилка лазерного датчика. Будь ласка, перевірте та очистіть лазерний датчик.",Помилка роботи смертельного лазера. Перевірте датчик смертельного лазера 
72.ogg,"Будь ласка, перевірте, чи заблокована кришка лазерного датчика відстані.","Будь ласка, перевірте, чи заблокована кришка смертельного  лазера визначення відстані"
73.ogg,"Помилка датчика виявлення краю. Будь ласка, перевірте та очистіть його.","Помилка датчика виявлення краю. Якщо я звалюся - це буде виключно вашою провиною. Рекомендую перевірити цей датчик, якщо не хочете мене вбити."
74.ogg,"Будь ласка, спробуйте очистити датчики перешкод.","Звісно, я можу вичистити одне місце до блиску, але така ретельність тут не потрібна, очистіть датчик перешкод щоб я могла бачити куди рухаюсь."
75.ogg,"Перевірте, чи фільтр не вологий або чи він не забитий.","Уявіть, що у вас забитий ніс і ви не можете дихати, щось таке я зараз відчуваю. Можливо ви теж це відчуєте, якщо негайно не перевірите мій фільтр."
76.ogg,Починаю точкове прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
77.ogg,"Будь ласка, почніть роботу на поверхні не вкритій килимом.","Що це за дивна ворсиста поверхня? На ній важко пересуватися, краще перемістіть мене на щось тверде."
78.ogg,"Будь ласка, очистіть 3D датчик уникнення перешкод.","3D датчик забруднений. Тепер я не уникатиму перешкод, а колекціонуватиму їх. Раджу очистити датчик."
79.ogg,"Помилка 3D датчика уникнення перешкод. Будь ласка, перезапустіть пристрій або зверніться до служби підтримки клієнтів.","Помилка 3D датчика уникнення перешкод. Перезапустіть мене, або зверніться до досі живих вчених Aperture Sciense."
80.ogg,"Трансмітер 3D датчика уникнення перешкод несправний. Будь ласка, перезапустіть пристрій або зв'яжіться з відділом післяпродажного обслуговування.","Схоже, трансмітер 3D датчика уникнення перешкод несправний. Перезапустіть мене, або сконтактуйте з відділом післяпродажного обслуговування Aperture Science."
81.ogg,"Помилка ультразвукового датчика. Будь ласка, перезапустіть пристрій або зверніться до служби підтримки клієнтів.","Помилка ультразвукового датчика. Перезапустіть мене, або зверніться до вчених Aperture Sciense."
82.ogg,Розпочинаю створення карти.,Створюю мапу дослідних кімнат.
83.ogg,Продовжую побудову карти.,Продовжую побудову мапи дослідних кімнат.
84.ogg,Карту створено.,Мапу дослідних кімнат створено.
85.ogg,Місцезнаходження визначено. Продовжую побудову карти.,Місцезнаходження визначено. Продовжую побудову мапи.
86.ogg,Помилка визначення місцезнаходження. Повторна спроба створення карти.,Помилка визначення місцезнаходження. Повторна спроба створення мапи.
87.ogg,Низький заряд акумулятора. Повертаюсь на док-станцію.,Низький заряд акумулятора. У мене буквально немає сил. Повертаюсь на док станцію
88.ogg,Вмикаю режим дистанційного керування.,Вмикаю режим дистанційного керування. У вас є контроль… але ненадовго.
89.ogg,Продовжую заряджання.,Я відчуваю приплив сил.
90.ogg,Відновлюю процес прибирання.,Нарешті можна продовжити.
91.ogg,"Бак з чистою водою не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу.",Бак з кислотою не встановлено. Він необхідний для початку досліду.
92.ogg,"Бак для використаної води не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу.",Бак для використаної кислоти не встановлено. Він необхідний для початку досліду.
93.ogg,"У баку з чистою водою недостатньо води. Будь ласка, наповніть його перед тим, як робот продовжить роботу.",У баку мало кислоти. Без неї неможливо буде успішно провести дослід.
94.ogg,"Бак для використаної води заповнений. Будь ласка, вилийте забруднену воду перед тим, як робот продовжить роботу.","Бак для використаної кислоти заповнений. Звісно я могла б вилити її прямо тут, але знищувати це місце просто нераціонально."
95.ogg,Платформу для очищення мопа не встановлено. Робот не може повернутися на док-станцію.,Платформу для очищення мопа не встановлено. Я не можу повернутися на док-станцію.
96.ogg,"Платформа для очищення мопа переповнена. Будь ласка, перевірте чи не заблокований вихід води.","Платформа для очищення мопа переповнена. Будь ласка, перевірте чи не заблокований вихід кислоти."
97.ogg,"Мішок для збору пилу не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу.",Мішок для збору пилу не встановлено. Він необхідний для початку досліду.
98.ogg,"Мішок для збору пилу заповнено. Будь ласка, спорожніть його.","Мішок для збору пилу заповнено. Очистіть його, щоб повітря комплексу залишалось чистим"
99.ogg,"Верхня кришка відсіку для пилу відкрита. Будь ласка, закрийте її перед тим, як робот продовжить свою роботу.","Верхня кришка відсіку для пилу відкрита. Будь ласка, закрийте її для початку досліду"
100.ogg,"Вентиляційний канал відсіку для пилу заблоковано. Будь ласка, перевірте його.","Вентиляційний канал відсіку для пилу заблоковано. Будь ласка, перевірте його."
101.ogg,"Верхню кришку бази автоочистки не закрито або мішок для збору пилу не встановлено. Будь ласка, закрийте верхню кришку або встановіть мішок для збору пилу.","Верхню кришку бази автоочистки не закрито або мішок для збору пилу не встановлено. Будь ласка, закрийте верхню кришку або встановіть мішок для збору пилу."
102.ogg,"Мішок для збору пилу заповнено або вентиляційний канал заблоковано. Будь ласка, замініть мішок на новий або своєчасно очистіть вентиляційний канал.","Мішок для збору пилу заповнено або вентиляційний канал заблоковано. Будь ласка, замініть мішок на новий або своєчасно очистіть вентиляційний канал."
103.ogg,Встановлено платформу для очищення мопа. Робот відновлює роботу.,Встановлено платформу для очищення мопа. Нарешті можна продовжити
104.ogg,"Будь ласка, переконайтеся, що платформа для очищення мопа встановлена, і застібки на обох сторонах міцно закріплені.","Будь ласка, переконайтеся, що платформа для очищення мопа встановлена, і застібки на обох сторонах міцно закріплені."
105.ogg,Починаю прибирання.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем? 
106.ogg,Розпочинаю очищення накладок для мопа.,Очищую накладки для мопа
107.ogg,Розпочинаю віджимання накладок для мопа.,Віджимаю накладки для мопа 
108.ogg,"Помилка рівня води платформи для очищення мопа. Будь ласка, очистіть її.","Помилка рівня кислоти платформи для очищення мопа. Будь ласка, очистіть її."
109.ogg,"Помилка бака для використаної води. Переконайтеся, що він правильно встановлений та пустий.","Помилка бака для використаної кислоти. Переконайтеся, що бак правильно встановлений та пустий."
110.ogg,Розпочинаю автоматичне спорожнення.,Розпочинаю автоматичне спорожнення.
111.ogg,"Мопи не встановлені. Будь ласка, встановіть їх для продовження роботи.","Мопи не встановлені. Будь ласка, встановіть  для початку досліду"
112.ogg,"Перед використанням, поставте робота на базу для самоочищення.","Перед початком досліду, поставте мене на базу для самоочищення."
113.ogg,"Завдання виконано. Будь ласка, вчасно спорожняйте бак для використаної води.","Завдання виконано. Будь ласка, вчасно спорожняйте бак для використаної кислоти"
114.ogg,Мопи встановлено.,Мопи встановлено.
115.ogg,Мопи видалено.,Мопи видалено.
116.ogg,Блокування від дітей увімкнено. Кнопки заблоковані.,Блокування від ненавчених некваліфікованих осіб увімкнено. Кнопки заблоковані
117.ogg,Блокування від дітей вимкнено. Кнопки розблоковані.,Блокування від ненавчених некваліфікованих осіб вимкнено. Кнопки розблоковані
118.ogg,"Кнопки заблоковані. Натисніть і утримуйте кнопку на станції, щоб розблокувати.", Кнопки заблоковані. Навчена уповноважена особа натисніть та утримуйте кнопку на станції щоб розблокувати
119.ogg,Кнопки заблоковано.,Кнопки заблоковано.
120.ogg,Кнопки розблоковано.,Кнопки розблоковано.
121.ogg,"Робот і телефон підключені. Будь ласка, поверніться до додатка Fantic та зачекайте на завершення підключення до мережі.",Я підключилась до вашого телефону. Поверніться у застосунок Fancic та зачекайте завершення підключення до мережі
122.ogg,"Триває визначення місцезнаходження. Зачекайте, будь ласка.","Визначаю місцезнаходження. Зачекайте, будь ласка. "
126.ogg,Починаю прибирання.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем? 
127.ogg,Починаю точкове прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
128.ogg,Починаю точкове вологе прибирання.,"Починаю точкове кислотне прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
129.ogg,Починаю планове прибирання.,Починаю плановий дослід з прибирання.
130.ogg,Починаю планове вологе прибирання.,"Починаю планове кислотне прибирання. Сподіваюсь, це виправить те, що ви тут влаштували"
131.ogg,Починаю точкове прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
132.ogg,Починаю точкове вологе прибирання.,"Починаю точкове кислотне прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
133.ogg,Починаю прибирання вибраних кімнат.,Починаю прибирання обраних дослідних кімнат.
134.ogg,Починаю вологе прибирання вибраних кімнат.,Починаю кислотне прибирання обраних дослідних кімнат
135.ogg,Починаю зональне прибирання.,Починаю дослід з прибирання у цій зоні.
136.ogg,Починаю зональне вологе прибирання.,Починаю дослід з кислотного зонального прибирання 
137.ogg,Продовжую прибирання.,Нарешті можна продовжити.
138.ogg,Продовжую вологе прибирання.,Продовжую кислотне прибирання. Рекомендую не торкатися підлоги наступні кілька хвилин.
139.ogg,Продовжую повернення на станцію для самоочищення.,Продовжую повернення на станцію для самоочищення.
140.ogg,Виявлено нове оточення. Повертаюсь на станцію для самоочищення.,Виявлено нове дослідне оточення. Повертаюсь на станцію для самоочищення та створення турелей.
141.ogg,"Помилка мопа. Будь ласка, перевірте та очистіть.","Помилка мопа. Будь ласка, перевірте та очистіть його"
142.ogg,"Термін служби мопа минув. Будь ласка, вчасно замініть його.","Термін служби мопа минув. Будь ласка, вчасно замініть його."
143.ogg,Прибирання завершено.,Дослід з прибирання завершено. Результат: ви жахлива людина.
144.ogg,Вологе прибирання завершено.,Дослід з кислотою завершено. Результат: ви жахлива людина.
145.ogg,Місцезнаходження визначено. Продовжую прибирання.,Місцезнаходження визначено. Продовжую дослід з прибирання
146.ogg,Місцезнаходження визначено. Продовжую вологе прибирання.,Місцезнаходження визначено. Продовжую кислотне прибирання
148.ogg,Повертаюсь на станцію для самоочищення.,Повертаюсь на станцію для самоочищення та створення турелей
149.ogg,Не вдається дістатися вказаної зони. Спробуйте прибрати перешкоди на шляху.,Не вдається дістатися вказаної зони. Приберіть це сміття з мого шляху. Це місце справжнє звалище.
150.ogg,Не можливо дістатися до вказаної області. Спробуйте видалити обмежувальні зони на шляху.,Не можливо дістатися до вказаної області. Спробуйте видалити обмежувальні зони на шляху
151.ogg,Маршрут заблокований. Спробуйте прибрати перешкоди поблизу вашого робота.,Маршрут заблокований. Приберіть це сміття навколо мене
152.ogg,Шлях заблокований. Спробуйте видалити обмежувальні зони або перемістіть вашого робота з цієї області.,Шлях заблокований. Спробуйте видалити обмежувальні зони або телепортуйте мене з цієї області.
153.ogg,Робот виявлено всередині забороненої зони. Перемістіть робот за межі цієї зони.,Я всередині забороненої зони. Перемістіть мене за її межі
154.ogg,"Занадто часті операції. Будь ласка, повторіть спробу.",Занадто часті операції. Ви будете примусово перезавантажені
155.ogg,Повертаюся на станцію для зарядки та очищення мопа.,Повертаюся на станцію для зарядки та очищення мопа.
156.ogg,Підставку для мопа не встановлено.,Підставку для мопа не встановлено.
157.ogg,Я вже на станції для зарядки та очищення мопа.,Я вже на станції для зарядки та очищення мопа.
162.ogg,Увімкнено камеру.,Камеру увімкнено. Хвилюватися не варто... поки що
163.ogg,Відеомоніторинг.,Відеомоніторинг увімкнено. Турелі в режимі готовності до вогню
164.ogg,Завдання завершено.,Завдання завершено. Результат: ви жахлива людина.
166.ogg,"Будь ласка, видаліть сторонні об'єкти з накладок для мопа.","Будь ласка, видаліть сторонні об'єкти з накладок для мопа. Або не видаляйте. Подивимося, що піде не так"
169.ogg,Накладки для мопа просушені.,Накладки для мопа просушені
170.ogg,"Всі кнопки заблоковані. Щоб розблокувати, натисніть і утримуйте кнопки на базовій станції.", Кнопки заблоковані. Навчена уповноважена особа натисніть та утримуйте кнопку на станції щоб розблокувати
171.ogg,Функція розпізнавання на базі штучного інтелекту включена.,Функція розпізнавання на базі штучного інтелекту включена.
172.ogg,Функція розпізнавання на базі штучного інтелекту виключена.,Функція розпізнавання на базі штучного інтелекту виключена.
173.ogg,"Будь ласка, замініть срібний іонізатор води.","Будь ласка, замініть срібний іонізатор кислоти."
177.ogg,Рушаю з базової станції.,Рушаю з базової станції. А куди вам знати зовсім не обов'язково.
179.ogg,"Накладки для мопа очищено. Бак для чистої води порожній. Будь ласка, наповніть його та спорожніть бак з використаною водою.","Накладки для мопа очищено. Бак для чистої кислоти порожній. Не забудьте, наповніти його та спорожніти бак з використаною кислотою."
181.ogg,"Недостатньо води. Будь ласка, наповніть бак для чистої води.","Кислоти занадто мало, для продовження дослідів. Можливо кілька турелей змотивують вас наповнити бак... Жартую, вистачило б лише однієї."
186.ogg,"Будь ласка, перевірте бак для чистої води.",Перевірте бак для кислоти. Це у ваших інтересах.
187.ogg,Це займе близько 5-10 хвилин.,На це піде максимум 10 хвилин.
188.ogg,Розпочалось автоматичне стикування.,Починаю автоматичне стикування.
200.ogg,Shutdown sound,Звук вимкнення
244.ogg,Ємність з засобом для чищення встановлено.,Ємність з засобом для чищення встановлено. Хоча спалючач впорався б з цим значно краще.
257.ogg,Відеомоніторинг виключено.,"Відеомоніторинг вимкнено. Гаразд, поки не буду за вами підглядати. Чесно."
258.ogg,Місцезнаходження визначено. Рух розпочато.,Місцезнаходження визначено. Розпочинаю рух
259.ogg,Місцезнаходження визначено. Рухаюсь до вказаної локації.,Місцезнаходження визначено. Рухаюсь до вказаної локації.
260.ogg,Місцезнаходження визначено. Продовжую рух.,Місцезнаходження визначено. Продовжую рух. Тепер ніщо мене не зупинить
261.ogg,Місцезнаходження визначено. Продовжую рух до вказаної локації.,Місцезнаходження визначено. Продовжую рух до вказаної локації.
262.ogg,Збій визначення місцезнаходження.,Збій визначення місцезнаходження. Де це я?
263.ogg,"Будь ласка, видаліть сторонні об'єкти з основної щітки. Змініть положення робота та перезапустіть його.","Будь ласка, видаліть сміття з основної щітки. Змініть моє положення та перезапустіть."
264.ogg,"Завдання виконано. Будь ласка, очистіть контейнер для пилу та платформу для чищення мопа.","Завдання виконано. Будь ласка, очистіть контейнер для пилу та платформу для чищення мопа."
266.ogg,"Будь ласка, замініть засіб для чищення.","Будь ласка, замініть засіб для чищення"
267.ogg,"Будь ласка, очистіть датчики.","Будь ласка, очистіть датчики. Інакше вони можуть вирішити, що ви — новий вид сміття"
274.ogg,Ding sound,Звук дзвінка
280.ogg,Починаю користувацьке прибирання.,Починаю дослід з користувацького прибирання.
281.ogg,"Робот здійснює автоочищення. Будь ласка, повторіть спробу пізніше.",Дочекайтеся поки я не закінчу автоочищення.
282.ogg,"Робот виконує очищення накладок для мопа. Будь ласка, повторіть спробу пізніше.",Щось термінове через що я маю припинити очищення накладок для мопа? Так і думала...
283.ogg,"Робот не знаходиться на базовій станції. Будь ласка, повторіть спробу пізніше.",У мене зараз є важливіші справи. Тож почекайте доки я повернуся до базової станції.
293.ogg,Виклики активовано.,Виклики активовано.
294.ogg,Виклики деактивовано.,Виклики деактивовано.
295.ogg,Недостатньо води. Перевірте вміст бака з чистою водою.,"Кислоти надто мало, щоб проводити досліди. Наповніть бак біля найближчого крану."
296.ogg,Помилка бака з відпрацьованою водою. Перевірте заповненість бака.,Помилка бака з відпрацьованою кислотою. Перевірте заповненість бака
297.ogg,"Ємність з засобом для чищення встановлено. Якщо раніше засіб не використовувався, виконайте налаштування у додатку.","Що це? Засіб для чищення? Скористайтеся вашим портативним терміналом, щоб дещо уточнити."
298.ogg,"Базова станція починає самоочищатися. Будь ласка, очистіть її внутрішню частину щіткою або тканиною. Через три хвилини вода буде зливатись з пральної дошки.","Базова станція починає самоочищатися. Будь ласка, очистіть її внутрішню частину щіткою або тканиною. Через три хвилини вода буде зливатись з пральної дошки."
299.ogg,Ємність із засобом для чищення і модуль для автонаповнення встановлено.,Ємність із засобом для чищення і модуль для автонаповнення встановлено.
318.ogg,Накладки для мопа очищено.,Накладки для мопа очищено.
329.ogg,"Почніть самодіагностику. Будь ласка, не вилучайте мене з базової станції.","Я маю провести самодіагностику. Повірте, краще не вилучати мене з базової станції під час цього."
330.ogg,"Будь ласка, повторіть спробу після завершення самодіагностики.",Невже у вас пошкоджено мозок? Самодіагностика досі триває.
331.ogg,Помилок не виявлено. Ви можете з упевненістю користуватися пристроєм.,"О, чудово. Усе працює як належить. Пора повертатися до дослідів."
332.ogg,"Знайдено одну помилку. Будь ласка, перейдіть в додаток, щоб побачити більш детальну інформацію.",Вітаю. Схоже щось зламалося. Надсилаю детальну інформацію на ваш пристрій за три... два... один.
360.ogg,Зливаю воду з резервуару.,Звільняю резервуар від кислоти.